datasetcode,datasetname,topic,datasetdescription,contact,email,dateupdate,compressionformat,filetype,filesize,filerows,filelocation
CBH,"Food Balances: Commodity Balances (non-food) (-2013, old methodology)","Most crop and livestock products, including processed products, under agricultural activity.","Food Balance Sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period. The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption. The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per caput food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content.",Food and Agriculture Organization of the United Nations (FAO): Statistics Division (ESS),faostat@fao.org,2021-12-03T00:00:00,zip,csv,7700KB,1184986,https://bulks-faostat.fao.org/production/CommodityBalances_(non-food)_(-2013_old_methodology)_E_All_Data_(Normalized).zip
CS,Macro-Economic Indicators: Capital Stock,"Agriculture, forestry and fishing (ISIC A+B Rev.3 and A Rev.4)","As part of the FAO Agriculture Capital Stock (ACS) database, ESS-FAO publishes country-by-country data on physical investment in agriculture, forestry and fishing as measured by the System of National Accounts (SNA) concept of Gross Fixed Capital Formation (GFCF). Additional variables included in the ACS are Net and Gross Capital Stock, Consumption of Fixed Capital, the Agriculture Investment ratio, and the Gross Fixed Capital Formation Agriculture Orientation Index. The FAO Agriculture Capital Stock Database is an analytical database: whenever available, the database integrates official National Accounts data harvested from the UNSD National Accounts Main Aggregates Database (UNSD AMA) and the OECD Annual National Accounts Database (OECD ANA). The database is further supplemented by OECD Structural Analysis database (OECD STAN) and in a few countries data from the countryâs statistics website. If the full set of official data is not available for any specific country, imputation methods are applied to obtain estimates over the complete time series. Many data points in ACS are estimated and are flagged as such; they do not represent official Member countries' submissions. With a view of producing internationally comparable net capital stock estimates, we employ the Perpetual Inventory Method (PIM) with a time invariant geometric depreciation rate to impute missing data. The Perpetual Inventory Method is a well-established economic model to calculate Net Capital Stocks (NCS) and Consumption of Fixed Capital (CFC) from time series of Gross Fixed Capital Formation (GFCF). Specifically, annual measures of the NCS are obtained from cumulating historical series on physical investment flows and deducting the part of assets that are depreciated (the Consumption of Fixed Capital that occurs in every period). In order to implement the PIM, long time series on aggregate GFCF in agriculture, forestry and fishing is required. As much as possible, we rely on National Accounts data published by the OECD and UNSD. When country data are partially or fully missing, we employ econometric techniques to impute missing observations. Depending on the pattern of data missingness for the countries, different imputation methods are applied (selected from the ARMAX, PANEL and OLS classes of econometric models) for the data series from 1995 to 2021.The values of Agriculture Capital Stock related indicators for 2022, including Agriculture Investment Ratio, Agriculture Orientation Index, Net Capital Stock, Gross Fixed Capital Formation and Consumption of Fixed Capital, are estimated using the Holt-Winters (HW) method (Cipra et al., 1995). The HW method is an exponential smoothing method for forecasting the annual values of economic variables. In this context, the HW method relies on existing (historical) values of the Agriculture Capital Stock. The predicted value is an extrapolation of the historical values to the specified target date, which extends the timeline without considering seasonality in the annual series.All data series in the database are provided both in national currencies and in US dollars as well as in current prices and constant prices with base year 2015. Calculation of constant price series is done applying GFCF deflator series. When OECD National Accounts data are available, an OECD implicit deflator for agriculture GFCF is calculated and used. For other cases, the implicit deflators on GFCF for total economy available from the FAOSTAT Deflators database is used.","Food and Agriculture Organization of the United Nations (FAO).: Statistics Division (ESS), Economic Statistics Team.",macrostats@fao.org,2023-12-22T00:00:00,zip,csv,1329KB,139394,https://bulks-faostat.fao.org/production/Investment_CapitalStock_E_All_Data_(Normalized).zip
FBS,Food Balances: Food Balances (2010-),"Most crop and livestock products, including processed products, under agricultural activity.","Food Balance Sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period. The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption. The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per caput food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content.",Food and Agriculture Organization of the United Nations (FAO): Statistics Division (ESS),faostat@fao.org,2024-07-19T00:00:00,zip,csv,50856KB,4660700,https://bulks-faostat.fao.org/production/FoodBalanceSheets_E_All_Data_(Normalized).zip
FBSH,"Food Balances: Food Balances (-2013, old methodology and population)","Most crop and livestock products, including processed products, under agricultural activity.","Food Balance Sheet presents a comprehensive picture of the pattern of a country's food supply during a specified reference period. The food balance sheet shows for each food item - i.e. each primary commodity and a number of processed commodities potentially available for human consumption - the sources of supply and its utilization. The total quantity of foodstuffs produced in a country added to the total quantity imported and adjusted to any change in stocks that may have occurred since the beginning of the reference period gives the supply available during that period. On the utilization side a distinction is made between the quantities exported, fed to livestock, used for seed, put to manufacture for food use and non-food uses, losses during storage and transportation, and food supplies available for human consumption. The per caput supply of each such food item available for human consumption is then obtained by dividing the respective quantity by the related data on the population actually partaking of it. Data on per caput food supplies are expressed in terms of quantity and - by applying appropriate food composition factors for all primary and processed products - also in terms of caloric value and protein and fat content.",Food and Agriculture Organization of the United Nations (FAO): Statistics Division (ESS),faostat@fao.org,2023-03-10T00:00:00,zip,csv,70769KB,11479903,https://bulks-faostat.fao.org/production/FoodBalanceSheetsHistoric_E_All_Data_(Normalized).zip
FO,Forestry: Forestry Production and Trade,"Forestry and logging, manufacture of wood and wood products, manufacture of pulp, paper and paper products, collection of recovered paper.","The database contains data on the production and trade in roundwood and in primary wood and paper products for all countries and territories in the world.The main types of primary forest products included in this database are roundwood, sawnwood, wood-based panels, pulp, and paper and paperboard. These products are detailed further and defined in the Joint Forest Sector Questionnaire (JFSQ) (https://www.fao.org/forestry/statistics/80572/en/). The database contains details of the following topics: - Roundwood removals (production) by coniferous and non-coniferous wood and assortments, - production and trade in industrial roundwood, sawnwood, wood-based panels, wood charcoal, pulp, paper and paperboard, and other products. More detailed information on wood products, including definitions, can be found at https://www.fao.org/forestry/statistics/80572/en",Food and Agriculture Organization of the United Nations (FAO): Forestry Division (NFO),FPS@fao.org,2023-12-21T00:00:00,zip,csv,15798KB,2238265,https://bulks-faostat.fao.org/production/Forestry_E_All_Data_(Normalized).zip
OA,Population and Employment: Annual population,Demography,"The FAOSTAT Population module contains time series data on population, by sex and urban/rural. The series consist of both estimates and projections for different periods as available from the original sources, namely:1. Population data refers to the World Population Prospects: The 2019 Revision from the UN Population Division.2. Urban/rural population data refers to the World Urbanization Prospects: The 2018 Revision from the UN Population Division./",Food and Agriculture Organization of the United Nations: Statistics Division (ESS),Piero.Conforti@fao.org,2022-11-10T00:00:00,zip,csv,1545KB,169142,https://bulks-faostat.fao.org/production/Population_E_All_Data_(Normalized).zip
PD,Prices: Deflators,"*GDP and GFCF: Total Economy Gross Domestic Product and Gross Fixed Capital Formation, respectively (ISIC Rev. 3, A-Q_01-99 and ISIC Rev. 4, A-U_01-99) as for the GDP deflator and the GFCF deflator;*AFF: - Agriculture, Forestry, and Fishing (ISIC Rev. 3, A-B_01-05 and ISIC Rev. 4, A_01-03) as for the agriculture value-added deflator;*MAN: - Manufacturing (ISIC Rev. 3, D_15-37 and ISIC Rev. 4, C_10-33) as for the manufacturing value-added deflator.","The FAOSTAT Deflators database provides the following selection of implicit price deflator series by country and at regional level: Gross Domestic Product (GDP) deflator, Gross Fixed Capital Formation (GFCF) deflator, Agriculture, Forestry, Fishery Value-Added (VA_AFF) deflator, and Manufacturing Valued-Added (VA_MAN) deflator.A deflator is a figure expressing the change in prices over a period of time for a product or a basket of products by comparing a reference period to a base period. It is obtained by dividing a current price value of a given aggregate by its real counterpart.  When calculated from the major national accounting aggregates such as GDP or agriculture value added, implicit price deflators pertains to wider ranges of goods and services in the economy than that represented by any of the individual price indexes (such as CPIs, PPIs). Movements in an implicit price deflator reflect both changes in price and changes in the composition of the aggregate for which the deflator is calculated.In the FAOSTAT Deflators database, all series are derived from the United Nations Statistics Division (UNSD) National Accounts Analysis of Main Aggregates database (UNSD AMA).  In particular, the implicit GDP deflator, the implicit GFCF deflator, the implicit value added deflator of Agriculture, Forestry, Fishery and the implicit value added deflator of Manufacturing are obtained by dividing the series in current prices by those in constant 2015 prices (base year).","Food and Agriculture Organization of the United Nations (FAO): Statistics Division (ESS), Economic and Social Statistics Team",macrostats@fao.org,2024-06-12T00:00:00,zip,csv,1003KB,85057,https://bulks-faostat.fao.org/production/Deflators_E_All_Data_(Normalized).zip
PP,Prices: Producer Prices,Most crop and livestock products under agricultural activity,"This sub-domain contains data on Agriculture Producer Prices and Producer Price Index. Agriculture Producer Prices are prices received by farmers for primary crops, live animals and livestock primary products as collected at the point of initial sale (prices paid at the farm-gate). Annual data are provided from 1991, while mothly data from January 2010 for 180 country and 212 products.Producer Price Index is the index of agricultural producer prices that measures the average annual change over time in the selling prices received by farmers (prices at the farm-gate or at the first point of sale). The three categories of producer price index available in FAOSTAT comprise: single-item price index, commodity group index and the agriculture producer price index.",Food and Agriculture Organization of the United Nations (FAO): Statistics Division (ESS),faostat@fao.org,2024-01-09T00:00:00,zip,csv,10345KB,1194830,https://bulks-faostat.fao.org/production/Prices_E_All_Data_(Normalized).zip
QCL,Production: Crops and livestock products,"Sector coverage: Crops and  livestock, primary and selected derived commodities. | Coverage rate : FAO strives to provide data for all countries and commodities , where possible. However, many countries do not collect official production data for minor crops, such that data coverage for these commodities may be limited.","Crop and livestock statistics are recorded for 278 products, covering the following categories: 1) CROPS PRIMARY: Cereals, Citrus Fruit, Fibre Crops, Fruit, Oil Crops, Oil Crops and Cakes in Oil Equivalent, Pulses, Roots and Tubers, Sugar Crops, Treenuts and Vegetables. Data are expressed in terms of area harvested, production quantity and yield. Cereals: Area and production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed or silage or used for grazing are therefore excluded. 2) CROPS PROCESSED: Beer of barley; Cotton lint; Cottonseed; Margarine, short; Molasses; Oil, coconut (copra); Oil, cottonseed; Oil, groundnut; Oil, linseed; Oil, maize; Oil, olive, virgin; Oil, palm; Oil, palm kernel; Oil, rapeseed; Oil, safflower; Oil, sesame; Oil, soybean; Oil, sunflower; Palm kernels; Sugar Raw Centrifugal; Wine. 3) LIVE ANIMALS: Animals live n.e.s.; Asses; Beehives; Buffaloes; Camelids, other; Camels; Cattle; Chickens; Ducks; Geese and guinea fowls; Goats; Horses; Mules; Pigeons, other birds; Pigs; Rabbits and hares; Rodents, other; Sheep; Turkeys. 4) LIVESTOCK PRIMARY: Beeswax; Eggs (various types);  Hides buffalo, fresh; Hides, cattle, fresh; Honey, natural; Meat (ass, bird nes, buffalo, camel, cattle, chicken, duck,  game, goat, goose and guinea fowl, horse, mule, Meat nes, meat other camelids, Meat other rodents, pig, rabbit, sheep, turkey); Milk (buffalo, camel, cow, goat, sheep); Offals, nes; Silk-worm cocoons, reelable; Skins (goat, sheep); Snails, not sea; Wool, greasy. 5) LIVESTOCK PROCESSED: Butter (of milk from sheep, goat, buffalo, cow); Cheese (of milk from goat, buffalo, sheep, cow milk); Cheese of skimmed cow milk; Cream fresh; Ghee (cow and buffalo milk); Lard; Milk (dry buttermilk,  skimmed condensed, skimmed cow, skimmed dried, skimmed evaporated, whole condensed, whole dried, whole evaporated); Silk raw; Tallow; Whey (condensed and dry); Yoghurt.",Food and Agriculture Organization of the United Nations (FAO): Statistics Division (ESS),faostat@fao.org,2024-10-07T00:00:00,zip,csv,32364KB,4124611,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip
RFN,"Land, Inputs and Sustainability: Fertilizers by Nutrient","Environment, Agricultural input statistics","The Fertilizers by Nutrient dataset contains information on the totals in nutrients for Production, Trade and Agriculture Use of inorganic (chemical or mineral) fertilizers, over the time series 1961-present. The data are provided for the three primary plant nutrients: nitrogen (N), phosphorus (expressed as P2O5) and potassium (expressed as K2O). Both straight and compound fertilizers are included. There is information on the methodology available at: https://files-faostat.fao.org/production/RFN/RFN_EN_README.pdf","Food and Agriculture Organization of the United Nations (FAO): Statistics Division (ESS), Environment Statistics team",faostat@fao.org,2024-07-17T00:00:00,zip,csv,1842KB,235607,https://bulks-faostat.fao.org/production/Inputs_FertilizersNutrient_E_All_Data_(Normalized).zip
