# File: Mapping_gcamdata_FAO_items.csv
# Title: Mapping of FAO items from different FAOSTAT dataset source
# Units: NA
# Description: This mapping is constructed to generate balanced data based best sources
# The corresponding CPC and FBS item and code are included when available
# Items are separated into different tiers based on data source
# Item_code should be unique. For non-FAO items including some cakes and meat Eq their code were created by adding 0000 to the corresponding oil or animal items
# Tier1 includes 209 items with best sources e.g. bilateral trade (TM)  prodstat (QCL) and supply-utilization-account (SCL)
#  Note that item_code (982 953 311) are moved to Tier3 from Tier1 since TM data not available after 2010.
#  Note that item 237 Oil soybean was moved from Tier1 to Tier2 to use SCL for production due to Brazil data issue in QCL
#  SCL has balanced data processed by FAO but the quality was poor with low consistency
# Tier2 includes 204 items that had no data or low quality data in QCL so used production from SCL
# Tier3 includes 21 items that had QCL but no bilateral trade data so use gross trade from SCL
# Tier4 includes 40 items included in SCL but not in Tier1-3
# Tier5 includes 12 fish items from FBS and FBSH. Item code came from FBS as well
# Tier6 includes 29 items that included in QCL for production but not in Tier1 to Tier5. 
#  Note that item_code (30 paddy rice milled equivalent) is not included as it is not used and discontinued by FAOSTAT.  Flax, processed but not spun (773) is changed to Flax, raw or retted (771).
# Tier7 include 4 cake or fiber items that coproduced in oil crop crushing. Item code used 0
#  Note the FAOSTAT does not provide data for Tier8 item so they are generated based extraction rate and assumed no trade and single use.
# Tier8 includes 16 meat equivalent items converted from live animals. Item code used 0
#  Note that these items were preprocessed based on mainly carcass yield implied by data for adjusting production and stocks
#  Note that for meat equivalent items only stock variation was accounted since 2010 when the data first available
# Last update: 06-09-2024 (XZ)
# Column types: icicccciccic
# ----------
item_code,item,tier,DS_trade,DS_production,DS_demand,DS_key_coproduct_item,DS_key_coproduct_item_code,CPC_code,CPC_item,FBS_item_code,FBS_item
15,Wheat,1,TM,QCL,SCL,,,CPC0111,wheat,2511,Wheat and products
27,Rice,1,TM,QCL,SCL,,,CPC0113,rice,2807,Rice and products
44,Barley,1,TM,QCL,SCL,,,CPC0115,barley,2513,Barley and products
51,"Beer of barley, malted",1,TM,QCL,SCL,,,CPC24310.01,"Beer of barley, malted",2656,Beer and products
56,Maize (corn),1,TM,QCL,SCL,,,CPC0112,maize (corn),2514,Maize and products (including white maize)
60,Oil of maize,1,TM,QCL,SCL,,,CPC21691.02,oil of maize,2582,Maize Germ Oil and products
71,Rye,1,TM,QCL,SCL,,,CPC0116,rye,2515,Rye and products
75,Oats,1,TM,QCL,SCL,,,CPC0117,oats,2516,Oats and products
79,Millet,1,TM,QCL,SCL,,,CPC0118,millet,2517,Millet and products
83,Sorghum,1,TM,QCL,SCL,,,CPC0114,sorghum,2518,Sorghum and products
89,Buckwheat,1,TM,QCL,SCL,,,CPC01192,buckwheat,2520,"Cereals, Other and products"
92,Quinoa,1,TM,QCL,SCL,,,CPC01194,quinoa,2520,"Cereals, Other and products"
97,Triticale,1,TM,QCL,SCL,,,CPC01191,triticale,2520,"Cereals, Other and products"
101,Canary seed,1,TM,QCL,SCL,,,CPC01195,canary seed,2520,"Cereals, Other and products"
108,Cereals n.e.c.,1,TM,QCL,SCL,,,CPC01199.90,other cereals n.e.c.,2520,"Cereals, Other and products"
116,Potatoes,1,TM,QCL,SCL,,,CPC01510,potatoes,2531,Potatoes and products
122,Sweet potatoes,1,TM,QCL,SCL,,,CPC01530,sweet potatoes,2533,Sweet potatoes and products
135,Yautia,1,TM,QCL,SCL,,,CPC01591,yautia,2534,"Roots, Other and products"
136,Taro,1,TM,QCL,SCL,,,CPC01550,taro,2534,"Roots, Other and products"
149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",1,TM,QCL,SCL,,,CPC01599.10,"edible roots and tubers with high starch or inulin content, n.e.c., fresh",2534,"Roots, Other and products"
157,Sugar beet,1,TM,QCL,SCL,,,CPC01801,sugar beet,2537,Sugar beet and products
162,Raw cane or beet sugar (centrifugal only),1,TM,QCL,SCL,,,CPC2351f,raw cane or beet sugar (centrifugal only),2542,Sugar (Raw Equivalent) and products
165,Molasses,1,TM,QCL,SCL,,,CPC23540,"molasses (from beet, cane and maize) [only calories]",2543,"Sweeteners, Other and products"
176,"Beans, dry",1,TM,QCL,SCL,,,CPC01701,"beans, dry",2546,Beans and products
181,"Broad beans and horse beans, dry",1,TM,QCL,SCL,,,CPC01702,"broad beans and horse beans, dry",2549,"Pulses, Other and products"
187,"Peas, dry",1,TM,QCL,SCL,,,CPC01705,"peas, dry",2547,Peas and products
191,"Chick peas, dry",1,TM,QCL,SCL,,,CPC01703,"chick peas, dry",2549,"Pulses, Other and products"
197,"Pigeon peas, dry",1,TM,QCL,SCL,,,CPC01707,"pigeon peas, dry",2549,"Pulses, Other and products"
201,"Lentils, dry",1,TM,QCL,SCL,,,CPC01704,"lentils, dry",2549,"Pulses, Other and products"
205,Vetches,1,TM,QCL,SCL,,,CPC01709.01,vetches,2549,"Pulses, Other and products"
211,Other pulses n.e.c.,1,TM,QCL,SCL,,,CPC01709.90,other pulses n.e.c.,2549,"Pulses, Other and products"
216,"Brazil nuts, in shell",1,TM,QCL,SCL,,,CPC01377,"brazil nuts, in shell",2551,Nuts and products
217,"Cashew nuts, in shell",1,TM,QCL,SCL,,,CPC01372,"cashew nuts, in shell",2551,Nuts and products
220,"Chestnuts, in shell",1,TM,QCL,SCL,,,CPC01373,"chestnuts, in shell",2551,Nuts and products
221,"Almonds, in shell",1,TM,QCL,SCL,,,CPC01371,"almonds, in shell",2551,Nuts and products
222,"Walnuts, in shell",1,TM,QCL,SCL,,,CPC01376,"walnuts, in shell",2551,Nuts and products
223,"Pistachios, in shell",1,TM,QCL,SCL,,,CPC01375,"pistachios, in shell",2551,Nuts and products
225,"Hazelnuts, in shell",1,TM,QCL,SCL,,,CPC01374,"hazelnuts, in shell",2551,Nuts and products
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",1,TM,QCL,SCL,,,CPC01379.90,"other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2551,Nuts and products
236,Soya beans,1,TM,QCL,SCL,,,CPC0141,soya beans,2555,Soyabeans and products
242,"Groundnuts, excluding shelled",1,TM,QCL,SCL,,,CPC0142,"groundnuts, excluding shelled",2552,Groundnuts (Shelled Eq) and products
244,Groundnut oil,1,TM,QCL,SCL,,,CPC2162,groundnut oil,2572,Groundnut Oil and products
249,"Coconuts, in shell",1,TM,QCL,SCL,,,CPC01460,"coconuts, in shell",2560,Coconuts (including copra) and products
252,Coconut oil,1,TM,QCL,SCL,,,CPC2166,coconut oil,2578,Coconut Oil and products
257,Palm oil,1,TM,QCL,SCL,,,CPC2165,palm oil,2577,Palm Oil and products
258,Oil of palm kernel,1,TM,QCL,SCL,,,CPC21691.14,oil of palm kernel,2576,Palmkernel Oil and products
260,Olives,1,TM,QCL,SCL,,,CPC01450,olives,2563,Olives (including preserved) and products
261,Olive oil,1,TM,QCL,SCL,,,CPC2167,olive oil,2580,Olive Oil and products
267,Sunflower seed,1,TM,QCL,SCL,,,CPC01445,sunflower seed,2557,Sunflower seed and products
268,"Sunflower-seed oil, crude",1,TM,QCL,SCL,,,CPC21631.01,"sunflower-seed oil, crude",2573,Sunflowerseed Oil and products
270,Rape or colza seed,1,TM,QCL,SCL,,,CPC01443,rapeseed or colza seed,2558,Rape and Mustardseed and products
271,"Rapeseed or canola oil, crude",1,TM,QCL,SCL,,,CPC21641.01,"rapeseed or canola oil , crude",2574,Rape and Mustard Oil and products
280,Safflower seed,1,TM,QCL,SCL,,,CPC01446,safflower seed,2570,"Oilcrops, Other and products"
281,"Safflower-seed oil, crude",1,TM,QCL,SCL,,,CPC21631.02,"safflower-seed oil, crude",2586,"Oilcrops Oil, Other and products"
289,Sesame seed,1,TM,QCL,SCL,,,CPC01444,sesame seed,2561,Sesame seed and products
290,Oil of sesame seed,1,TM,QCL,SCL,,,CPC21691.07,oil of sesame seed,2579,Sesameseed Oil and products
292,Mustard seed,1,TM,QCL,SCL,,,CPC01442,mustard seed,2558,Rape and Mustardseed and products
296,Poppy seed,1,TM,QCL,SCL,,,CPC01448,poppy seed,2570,"Oilcrops, Other and products"
299,Melonseed,1,TM,QCL,SCL,,,CPC01449.01,melonseed,2570,"Oilcrops, Other and products"
329,Cotton seed,1,TM,QCL,SCL,,,CPC0143,cottonseed,2559,Cottonseed and products
331,Cottonseed oil,1,TM,QCL,SCL,,,CPC2168,cottonseed oil,2575,Cottonseed Oil and products
333,Linseed,1,TM,QCL,SCL,,,CPC01441,linseed,2570,"Oilcrops, Other and products"
334,Oil of linseed,1,TM,QCL,SCL,,,CPC21691.12,oil of linseed,2586,"Oilcrops Oil, Other and products"
336,Hempseed,1,TM,QCL,SCL,,,CPC01449.02,hempseed,2570,"Oilcrops, Other and products"
339,"Other oil seeds, n.e.c.",1,TM,QCL,SCL,,,CPC01449.90,"other oil seeds, n.e.c.",2570,"Oilcrops, Other and products"
358,Cabbages,1,TM,QCL,SCL,,,CPC01212,cabbages,2605,"Vegetables, Other and products"
366,Artichokes,1,TM,QCL,SCL,,,CPC01216,artichokes,2605,"Vegetables, Other and products"
367,Asparagus,1,TM,QCL,SCL,,,CPC01211,asparagus,2605,"Vegetables, Other and products"
