# File: FAO_an_items_cal_SUA.csv
# Title: Mapping file of FAO and GCAM animal commodities and caloric content
# Unit: Mcal per tonne
# Description: Maps FAO Supply Utilization Accounts animal commodities to GCAM animal commodities and reports caloric content. 
# item and item_code are both updated to new FAO FBS; 
# caloric content will not be used anymore as they will be derived from data. 
# Animal offals_fats are included under otherMeat. Snail_not sea was included in OtherMeat_Fish under Meat_Other and products. 
# Items not mapped were mostly old mapping items. They are either nonfood or incuded in other places.
# Original source: http://www.fao.org/DOCREP/003/X9892E/X9892e05.htm#P8217_125315
# Sources: FAO FBS and FBSH
# Date of last update: 2022-03-22 (XZ)
# Column types: ciccnnn
# ----------
item,item_code,GCAM_commodity,crop_cal,Mcal_t,protein_Perc,fat_Perc
Bovine Meat and products,2731,Beef,BEEF BONELESS,1500,,
"Butter, Ghee and products",2740,Dairy,GHEE FROM COW MILK,8730,,
Cream and products,2743,Dairy,"CREAM, FRESH",1950,,
Milk - (Excluding excluding Butter butter) and products,2848,Dairy,STANDARDIZED MILK,480,,
"Meat, Other and products",2735,OtherMeat_Fish,MEAT NES,1260,,
Freshwater Fish,2761,OtherMeat_Fish,FRESHWATER DIADROMOUS FISH FRESH,690,10.9,2.5
Demersal Fish,2762,OtherMeat_Fish,DEMERSAL FISH FRESH,420,8.3,0.8
Pelagic Fish,2763,OtherMeat_Fish,PELAGIC FISH FRESH,860,12.6,3.6
"Marine Fish, Other",2764,OtherMeat_Fish,MARINE FISH NES FRESH,640,10.3,2.2
Crustaceans,2765,OtherMeat_Fish,CRUSTACEANS FRESH,470,9.3,0.5
Cephalopods,2766,OtherMeat_Fish,CEPHALOPODS FRESH,660,13.5,0.7
"Molluscs, Other",2767,OtherMeat_Fish,MOLLUSCS FRESH,150,2.3,0.2
"Meat, Aquatic Mammals",2768,OtherMeat_Fish,AQUATIC MAMMALS MEAT,1360,21,5
"Aquatic Animals, Others",2769,OtherMeat_Fish,AQUATIC ANIMALS NES FRESH,300,4,0.2
"Fish, Body Oil",2781,OtherMeat_Fish,MARINE FISH NES BODY OIL,9020,0,100
"Fish, Liver Oil",2782,OtherMeat_Fish,MARINE FISH L221NES LIVER OIL,9020,0,100
Pigmeat and products,2733,Pork,PIGMEAT,3260,,
Poultry Meat and products,2734,Poultry,CHICKEN MEAT,1220,,
Eggs and products,2744,Poultry,HEN EGGS,1390,,
Mutton & and Goat Meat and products,2732,SheepGoat,MUTTON AND LAMB,2630,,
"Fats, Animals, Raw",2737,OtherMeat_Fish,ANIMAL OILS AND FATS NES,9020,,
"Offals, Edible",2736,OtherMeat_Fish,OFFALS NES,1050,,
Honey,2745,OtherMeat_Fish,HONEY,2980,,
Aquatic Plants,2775,OtherMeat_Fish,"	AQUATIC PLANTS",540,2.8,0.6
"Milk, Whole",2738,,,0,,
"Milk, Skimmed",2739,,,0,,
Wool (Clean Eq.),2746,,,0,,
Silk,2747,,,0,,
Hides and skins,2748,,,0,,
Fish Meal,2855,,FRESHWATER DIADROM. FISH PREPARED NES,2620,,
Meat Meal,2749,,MEAT PREPARED NES,2420,,
Cheese,2741,,CHEESE WHOLE COW MILK,3870,,
Whey,2742,,WHEY FRESH,260,,
