# File: Mapping_gcamdata_FAO_iso_reg.csv
# Title: Mapping of FAO countries  ISO codes
# Units: NA
# Description: Note that both French Guiana and French Guyana are added for now and  Saint Helena,, Ascension and Tristan da Cunha is added. Area_code should be used later,
# region_ID is model-specific region mapping. It is set to FAO area_code now. It can be used to remove intraregional trade in compiling the new FBS
# Last update: 06-15-2024 (XZ)
# Column types: cici
# ----------
FAO_country,area_code,iso,region_ID
Armenia,1,arm,1
Afghanistan,2,afg,2
Albania,3,alb,3
Algeria,4,dza,4
American Samoa,5,asm,5
Andorra,6,and,6
Angola,7,ago,7
Antigua and Barbuda,8,atg,8
Argentina,9,arg,9
Australia,10,aus,10
Austria,11,aut,11
Bahamas,12,bhs,12
Bahrain,13,bhr,13
Barbados,14,brb,14
Belgium-Luxembourg,15,lux,15
Bangladesh,16,bgd,16
Bermuda,17,bmu,17
Bhutan,18,btn,18
Bolivia (Plurinational State of),19,bol,19
Botswana,20,bwa,20
Brazil,21,bra,21
Aruba,22,abw,22
Belize,23,blz,23
Solomon Islands,25,slb,25
Brunei Darussalam,26,brn,26
Bulgaria,27,bgr,27
Myanmar,28,mmr,28
Burundi,29,bdi,29
Cameroon,32,cmr,32
Canada,33,can,33
Cabo Verde,35,cpv,35
Cayman Islands,36,cym,36
Central African Republic,37,caf,37
Sri Lanka,38,lka,38
Chad,39,tcd,39
Chile,40,chl,40
"China, mainland",41,chn,41
Christmas Island,42,cxr,42
Colombia,44,col,44
Comoros,45,com,45
Congo,46,cog,46
Cook Islands,47,cok,47
Costa Rica,48,cri,48
Cuba,49,cub,49
Cyprus,50,cyp,50
Czechoslovakia,51,cze,51
Czechoslovakia,51,svk,51
Azerbaijan,52,aze,52
Benin,53,ben,53
Denmark,54,dnk,54
Dominica,55,dma,55
Dominican Republic,56,dom,56
Belarus,57,blr,57
Ecuador,58,ecu,58
Egypt,59,egy,59
El Salvador,60,slv,60
Equatorial Guinea,61,gnq,61
Ethiopia PDR,62,eth,62
Estonia,63,est,63
Faroe Islands,64,fro,64
